,city,black_seg,hisp_seg,asian_seg,white_seg,black_seg_v,asian_seg_v,hisp_seg_v,white_seg_v,black_seg_c,hisp_seg_c,asian_seg_c,white_seg_c
68,little_rock,0.620389636,0.588977312,0.615426493,0.624249043,0.614391332,0.59939791,0.572010349,0.607191052,0.649746084,0.713647679,0.780371069,0.62799992
69,long_beach,0.393762576,0.426356265,0.407553391,0.587302068,0.397901002,0.400900312,0.572010349,0.556733735,0.495517318,0.395859436,0.475313383,0.534516146
70,los_angeles,0.574629292,0.564273981,0.498282171,0.622783211,0.574319122,0.482617702,0.572010349,0.601756803,0.671357641,0.534762935,0.519265944,0.575075037
71,louisville,0.626504088,0.535387146,0.627343641,0.550774485,0.625374865,0.622263681,0.572010349,0.552741055,0.671809984,0.699392237,0.823484101,0.613428863
72,lubbock,0.549273188,0.43669423,0.629328778,0.470150228,0.542494481,0.609965958,0.572010349,0.456728088,0.665180269,0.486385575,0.76938578,0.501092217
73,madison,0.560675652,0.449943984,0.491939303,0.42301504,0.537411893,0.484595931,0.572010349,0.398352893,0.638417287,0.507301981,0.595822376,0.466438573
74,mckinney,0.413980024,0.442842995,0.452672344,0.377311765,0.413376432,0.451406827,0.572010349,0.371484448,0.530040609,0.452761437,0.562081787,0.42336041
75,memphis,0.681299919,0.634858446,0.701308249,0.683596367,0.681391925,0.685889669,0.572010349,0.674903846,0.720485006,0.740373056,0.841264533,0.714263648
76,mesa,0.517386125,0.465824878,0.550872117,0.443433354,0.521064239,0.545644104,0.572010349,0.433187282,0.700248538,0.447241187,0.721838623,0.430898339
77,miami,0.810164352,0.634094357,0.703341509,0.563248016,0.805168639,0.68887863,0.572010349,0.614265981,0.838492475,0.694957712,0.910769043,0.646269433
78,milwaukee,0.728698822,0.659957941,0.628630674,0.641325534,0.729712742,0.597322022,0.572010349,0.628340521,0.730379999,0.654263061,0.775594737,0.649759469
79,minneapolis,0.587441819,0.552839061,0.513601388,0.547854692,0.58579327,0.489767705,0.572010349,0.516380175,0.656311314,0.615256544,0.646948887,0.574118267
80,mobile,0.642117974,0.553560569,0.661525804,0.61785272,0.635164523,0.659393428,0.572010349,0.605311304,0.66306508,0.754042849,0.865307588,0.642558841
81,modesto,0.418717441,0.354886866,0.455062582,0.36046921,0.416791116,0.449853534,0.572010349,0.355126634,0.600918367,0.376316768,0.575702749,0.381174565
82,murrieta,0.345357253,0.222101429,0.342460581,0.264081939,0.346901261,0.347114607,0.572010349,0.270294363,0.518656422,0.283876159,0.500372634,0.326379884
83,nashua,0.498616519,0.515211904,0.552176767,0.384832401,0.489986866,0.535794794,0.572010349,0.382116459,0.669659847,0.56041875,0.623104332,0.433109505
84,nashville,0.563852701,0.55706495,0.543488652,0.526646776,0.56044569,0.533190814,0.572010349,0.518549602,0.604779072,0.627440416,0.732009806,0.566033559
85,new_orleans,0.701834789,0.51406091,0.75149619,0.727779589,0.69892364,0.73517759,0.572010349,0.71249866,0.748034406,0.691387112,0.872897174,0.733414873
86,new_york,0.679214045,0.521442744,0.572486003,0.666836608,0.683671518,0.555977284,0.572010349,0.650633009,0.716458339,0.536596434,0.611411681,0.662578956
87,newark,0.687322231,0.551983893,0.727006594,0.611336308,0.686456023,0.714628853,0.572010349,0.595224185,0.695417931,0.600071883,0.863921077,0.680515828
88,norfolk,0.578782174,0.412498876,0.522157824,0.532021962,0.567423405,0.492571441,0.572010349,0.5112714,0.624231518,0.544161542,0.68425976,0.5902593
89,oakland,0.431613355,0.51988514,0.475007218,0.575598984,0.43348734,0.465256198,0.572010349,0.553823288,0.527566296,0.464501029,0.518220746,0.554346939
90,ogden,0.520874593,0.422824093,0.577755636,0.391735992,0.525577233,0.572759119,0.572010349,0.385519753,0.767263694,0.441770599,0.756718281,0.411035478
91,oklahoma_city,0.581278099,0.562714452,0.566086772,0.440810131,0.579253806,0.548569412,0.572010349,0.427385484,0.662261301,0.545594266,0.704373148,0.48121462
92,omaha,0.675275469,0.608438462,0.628021437,0.551885886,0.671133756,0.615918455,0.572010349,0.540925355,0.746654929,0.630515429,0.823723354,0.608876673
93,orlando,0.636641636,0.45755831,0.507280187,0.509122527,0.62443486,0.484587119,0.572010349,0.494010109,0.666444255,0.478655433,0.640295791,0.530175499
94,oxnard,0.497675477,0.484902336,0.544536255,0.509093353,0.485706456,0.529770475,0.572010349,0.500370959,0.564773477,0.451237473,0.554607613,0.469824535
95,philadelphia,0.701578387,0.58300263,0.603868248,0.687018651,0.709009549,0.591656199,0.572010349,0.675267244,0.743717555,0.676098762,0.714068914,0.718140416
96,phoenix,0.501562657,0.563233399,0.574053341,0.567274679,0.498767478,0.551441301,0.572010349,0.543849264,0.644617322,0.528748883,0.711030443,0.524296425
97,pittsburgh,0.677797444,0.506120021,0.663764262,0.558322189,0.672565203,0.647441866,0.572010349,0.549801429,0.7105156,0.752182874,0.752882712,0.634876822
98,plano,0.436147306,0.482963462,0.452924109,0.372965821,0.422791333,0.439581448,0.572010349,0.36582324,0.57618087,0.441984101,0.498948312,0.380436853
99,providence,0.38076634,0.499052283,0.524567502,0.553902685,0.390611749,0.519565017,0.572010349,0.532008079,0.510963909,0.549594493,0.65133068,0.538712749
100,provo,0.566266629,0.444899573,0.441573965,0.349484393,0.56030866,0.410438139,0.572010349,0.313974108,0.850408707,0.409592203,0.646350008,0.358102936
101,raleigh,0.528674116,0.5025727,0.505012851,0.561570606,0.527817758,0.495730455,0.572010349,0.542867328,0.61704885,0.548458559,0.624675145,0.578490917
102,reading,0.3730639,0.389916237,0.797597234,0.435696402,0.37019036,0.787477141,0.572010349,0.432809151,0.468816814,0.442802265,0.902363754,0.465968394
103,reno,0.480808568,0.452449272,0.399971814,0.381753912,0.482748411,0.388462162,0.572010349,0.36219449,0.658696018,0.436878312,0.539360855,0.397815795
104,richmond,0.668997155,0.590124795,0.665202196,0.683236323,0.660670248,0.645528666,0.572010349,0.655934457,0.713915628,0.65679286,0.776690012,0.698476565
105,riverside,0.402485957,0.401313613,0.513983232,0.373039403,0.388791601,0.509864417,0.572010349,0.362167976,0.511746598,0.373772857,0.580465619,0.355951118
106,rochester,0.464762684,0.449780879,0.629769642,0.564506911,0.490425766,0.612656403,0.572010349,0.550496688,0.549619013,0.547236862,0.790057518,0.579530061
107,rockford,0.542881598,0.444739646,0.656082641,0.466887413,0.545839474,0.644818784,0.572010349,0.463319909,0.637213356,0.55651573,0.812240961,0.551530333
108,sacramento,0.391103878,0.331437108,0.424145335,0.430931974,0.396718047,0.426159554,0.572010349,0.414022585,0.48621291,0.370368476,0.480712099,0.43332076
109,salem,0.551922044,0.49400299,0.493249777,0.409646451,0.569695199,0.487467611,0.572010349,0.39566994,0.753222478,0.459614481,0.634798391,0.396092527
110,salt_lake_city,0.54192453,0.553054717,0.475260849,0.501591455,0.531652105,0.460074996,0.572010349,0.46135765,0.749561444,0.507629664,0.606207158,0.467083633
111,san_antonio,0.514135991,0.471920474,0.579181558,0.472896623,0.508824948,0.559928651,0.572010349,0.45906605,0.594968216,0.474902117,0.686335423,0.478360627
112,san_bernardino,0.388971648,0.368462483,0.586513655,0.429984979,0.385191383,0.570206838,0.572010349,0.414139696,0.463044634,0.366291563,0.683979114,0.42091869
113,san_diego,0.511136564,0.525811256,0.488121252,0.511928451,0.508269525,0.486005536,0.572010349,0.490872208,0.615159142,0.467143086,0.525107483,0.491447846
114,san_francisco,0.574645965,0.422205632,0.431207405,0.432281722,0.558316474,0.426021413,0.572010349,0.417516151,0.65792086,0.423979744,0.462148746,0.430146646
115,san_jose,0.457706934,0.469126756,0.466783214,0.490761492,0.4484973,0.457500658,0.572010349,0.477398315,0.629163461,0.44655787,0.483305854,0.478651868
116,santa_ana,0.60114943,0.54488211,0.592045989,0.546493964,0.587687702,0.574434758,0.572010349,0.537318333,0.725119179,0.523913254,0.593418386,0.523823949
117,santa_clara,0.410249018,0.355446322,0.352036782,0.329942376,0.397941078,0.347820892,0.572010349,0.325098465,0.626634527,0.38467992,0.34621146,0.318573686
118,santa_rosa,0.49058983,0.460164298,0.406482383,0.430096514,0.497065219,0.404240148,0.572010349,0.419369293,0.719825458,0.469514074,0.585159686,0.418137412
119,savannah,0.575271049,0.523703726,0.628854414,0.548402669,0.572283401,0.614240329,0.572010349,0.538742794,0.619594996,0.714802818,0.835424915,0.601336068
120,seattle,0.602019283,0.393334116,0.454075689,0.442673651,0.585046818,0.446301526,0.572010349,0.428129555,0.688121091,0.512799018,0.53098831,0.491525288
121,shreveport,0.706412555,0.537850598,0.706166233,0.67733749,0.7011657,0.698395059,0.572010349,0.667848152,0.732314332,0.733088229,0.833930951,0.706559086
122,south_bend,0.550859512,0.598811471,0.74851647,0.529926831,0.551478584,0.734949082,0.572010349,0.520898735,0.607645651,0.631443637,0.873426518,0.555059791
123,spokane,0.634757085,0.473563759,0.606879288,0.355785725,0.639124386,0.603036258,0.572010349,0.349943279,0.792809397,0.6174545,0.752118609,0.507816214
124,springfield,0.400221248,0.45282812,0.652259052,0.526932239,0.415788862,0.635928522,0.572010349,0.516015048,0.497528619,0.506800774,0.798268162,0.544526246
125,st_louis,0.71409175,0.579419747,0.713168448,0.674046454,0.71043674,0.692913371,0.572010349,0.660553024,0.754070839,0.741473965,0.837143721,0.712186892
126,st_paul,0.513274442,0.464893872,0.556647678,0.536744782,0.519519783,0.54531924,0.572010349,0.510907672,0.603014389,0.584129162,0.648138291,0.532214961
127,st_petersburg,0.729458457,0.415159348,0.614978768,0.554510201,0.723411903,0.600107558,0.572010349,0.541430898,0.767197884,0.536752572,0.748448214,0.615170269
128,stockton,0.350406729,0.348795073,0.441204625,0.45734732,0.349506796,0.441736187,0.572010349,0.451976202,0.451469583,0.345065669,0.476770055,0.433256179
129,syracuse,0.511476783,0.401435281,0.638237758,0.480299222,0.51700755,0.621877837,0.572010349,0.462019852,0.587419539,0.558114794,0.7132182,0.5272676
130,tampa,0.619330065,0.440966867,0.576096979,0.534466191,0.610941371,0.55488842,0.572010349,0.516718294,0.663602787,0.481102804,0.733795697,0.556498561
131,toledo,0.610334156,0.441098785,0.728601903,0.523246073,0.609562761,0.720089041,0.572010349,0.527105591,0.675244454,0.571968211,0.869831742,0.592737091
132,trenton,0.55202017,0.51453231,0.736523135,0.474777208,0.556664954,0.723280585,0.572010349,0.467684877,0.587454109,0.518584136,0.92639503,0.576156774
133,tucson,0.45415053,0.492840672,0.52754533,0.464455167,0.442015441,0.511410944,0.572010349,0.448187274,0.584947029,0.480457393,0.667782538,0.455637216
134,tulsa,0.553447046,0.519492111,0.62443018,0.445474123,0.557316471,0.612665074,0.572010349,0.430072251,0.642048174,0.556712319,0.797558504,0.484660414
135,tuscaloosa,0.673772335,0.521645194,0.626664896,0.633192024,0.655963299,0.603937048,0.572010349,0.610752202,0.697281558,0.705988149,0.873450191,0.678029101
136,virginia_beach,0.439039676,0.320230174,0.424111975,0.409811477,0.432990878,0.426044543,0.572010349,0.407179103,0.490732273,0.467550012,0.539471473,0.456763082
137,visalia,0.556093539,0.343847438,0.478398731,0.371320652,0.55707131,0.469540272,0.572010349,0.364947148,0.752383476,0.371616067,0.576187945,0.38210632
138,wichita,0.589819102,0.478813568,0.593047643,0.445111211,0.582818861,0.588003488,0.572010349,0.439091253,0.688046521,0.509259058,0.708119795,0.495614428
139,worcester,0.392733756,0.489417773,0.476155959,0.44838934,0.399479408,0.473130876,0.572010349,0.435635603,0.553062027,0.591664427,0.62398935,0.500760816
140,youngstown,0.556033558,0.53889466,0.872315897,0.585734889,0.572966384,0.854688389,0.572010349,0.596757223,0.622224653,0.660950278,0.899605343,0.647049062
